typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","4","AFG","Afghanistan","M","Import","0","W00","World","0","W00","World","H2","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","68431720",,"68431720","0","true","false",
"C","A","20140101","2014","52","2014","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","199969590",,"199969590","0","true","false",
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2523522689",,"2523522689","0","true","false",
"C","A","20140101","2014","52","2014","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","38994035.789",,"38994035.789","4","false","true",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","331526560",,"331526560","0","true","false",
"C","A","20140101","2014","52","2014","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6187272",,"6187272","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","225938303",,"225938303","0","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","2148944239.21","2093824736.17","2148944239.21","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"8472278028","8472278028","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","6010437695.744",,"6010437695.744","4","false","true",
"C","A","20140101","2014","52","2014","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","53099495",,"53099495","0","true","false",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","269918721",,"269918721","0","true","false",
"C","A","20140101","2014","52","2014","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","119911250",,"119911250","0","true","false",
"C","A","20140101","2014","52","2014","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H2","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","70181738",,"70181738","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16131388210.567","0","16131388210.567","4","false","true",
"C","A","20140101","2014","52","2014","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","24008857",,"24008857","0","true","false",
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","171695134.14","165251228.39","171695134.14","0","false","true",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","375735592",,"375735592","0","true","false",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","110029841.538",,"110029841.538","4","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7622480683","7434386854","7622480683","4","false","true",
"C","A","20140101","2014","52","2014","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10160087",,"10160087","0","true","false",
"C","A","20140101","2014","52","2014","90","SLB","Solomon Isds","M","Import","0","W00","World","0","W00","World","H2","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","5852054.495",,"5852054.495","0","false","true",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","75422676",,"75422676","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1361254807",,"1361254807","0","true","false",
"C","A","20140101","2014","52","2014","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","287025185.215",,"287025185.215","4","false","true",
"C","A","20140101","2014","52","2014","108","BDI","Burundi","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","49208171",,"49208171","0","true","false",
"C","A","20140101","2014","52","2014","112","BLR","Belarus","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","817507300",,"817507300","0","true","false",
"C","A","20140101","2014","52","2014","116","KHM","Cambodia","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","153137713",,"153137713","0","true","false",
"C","A","20140101","2014","52","2014","120","CMR","Cameroon","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","240126285",,"240126285","0","true","false",
"C","A","20140101","2014","52","2014","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"12478392782","12478392782","0","true","false",
